"make_model","entry_date","vehicle_trim","vehicle_color","vehicle_age","list_price"
"KIA OPTIMA",2016-12-14,"LX","Snow White Pearl",205,"$23,570"
"KIA OPTIMA",2016-12-16,"LX","Snow White Pearl",203,"$23,590"
"KIA OPTIMA",2017-03-06,"SXL Turbo","Ebony Black",123,"$0"
"KIA OPTIMA",2017-03-30,"LX","Sangria Red",99,"$23,230"
"KIA OPTIMA",2017-04-10,"LX","Aurora Black",88,"$23,680"
"KIA OPTIMA",2017-04-13,"LX","Snow White Pearl",85,"$25,670"
"KIA OPTIMA",2017-04-17,"LX","Horizon Blue",81,"$23,280"
"KIA OPTIMA",2017-04-24,"LX","Horizon Blue",74,"$24,180"
"KIA OPTIMA",2017-04-24,"LX","Snow White Pearl",74,"$24,575"
"KIA OPTIMA",2017-04-24,"LX","Titanium",74,"$23,280"
"KIA OPTIMA",2017-04-25,"LX","Titanium",73,"$23,280"
"KIA OPTIMA",2017-04-26,"EX","Ebony Black",72,"$26,410"
"KIA OPTIMA",2017-04-26,"EX","Horizon Blue",72,"$30,060"
"KIA OPTIMA",2017-04-28,"LX","Horizon Blue",70,"$23,280"
"KIA OPTIMA",2017-05-01,"LX","Ebony Black",67,"$23,230"
"KIA OPTIMA",2017-05-08,"LX","Platinum Graphite",60,"$24,180"
"KIA OPTIMA",2017-05-10,"LX","Ebony Black",58,"$23,230"
"KIA OPTIMA",2017-05-11,"LX","Ebony Black",57,"$23,230"
"KIA OPTIMA",2017-05-17,"LX","Snow White Pearl",51,"$23,625"
"KIA OPTIMA",2017-05-18,"LX","Snow White Pearl",50,"$23,652.50"
"KIA OPTIMA",2017-05-19,"LX","Horizon Blue",49,"$23,230"
"KIA OPTIMA",2017-05-19,"LX","Snow White Pearl",49,"$23,652.50"
"KIA OPTIMA",2017-05-22,"LX","Ebony Black",46,"$23,230"
"KIA OPTIMA",2017-05-24,"LX","Ebony",44,"$23,285"
"KIA OPTIMA",2017-05-24,"LX","Ebony Black",44,"$23,285"
"KIA OPTIMA",2017-05-24,"LX","Snow White Pearl",44,"$23,652.50"
"KIA OPTIMA",2017-05-30,"LX","Ebony Black",38,"$23,282.50"
"KIA OPTIMA",2017-05-30,"LX","Platinum",38,"$23,230"
"KIA OPTIMA",2017-05-30,"LX","Sangria Red",38,"$24,180"
"KIA OPTIMA",2017-05-31,"LX","Ebony Black",37,"$23,282.50"
"KIA OPTIMA",2017-06-02,"LX","Ebony Black",35,"$23,230"
"KIA OPTIMA",2017-06-06,"LX","Ebony Black",31,"$23,230"
"KIA OPTIMA",2017-06-06,"LX","Snow White Pearl",31,"$23,675"
"KIA OPTIMA",2017-06-08,"LX","Ebony Black",29,"$23,280"
"KIA OPTIMA",2017-06-14,"LX","Platinum Graphite",23,"$23,285"
"KIA OPTIMA",2017-06-16,"LX","Ebony Black",21,"$23,280"
"KIA OPTIMA",2017-06-23,"LX","Platinum Graphite",14,"$23,285"
"KIA OPTIMA",2017-06-26,"LX","Ebony Black",11,"$23,280"
